p1,p2
"If can invade Poland, there isn't anything I can't do.","Y'know, I figure if I can make coffee, there isn't anything I can't do."
"Oh good, Lenny and Squigy are here.","Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry..."
Morning.,Morning. Good morning.
"Hello, Paul.","Morning, Paul."
,"Hi, Paul, is it?"
Stop!,Thank you! Thank you so much!
We'll talk later.,"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness."
That wasn't a real date?! What the hell do you do on a real date?,Yeah. Thank you.
Okayyy!,"Shut up, and put my table back."
"So, like, you guys all have jobs?","All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
"Yeah, I'm an actor.","Yeah, we all have jobs. See, that's how we buy stuff."
I doubt it. Mostly regional work.,Wow! Would I have seen you in anything?
"Look, it was a job all right?","Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
I will not take this abuse.,"'Look, Gippetto, I'm a real live boy.'"
"You should both know, that he's a dead man. Oh, Chandler?","You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy..."""
I can see that. You look like you slept with a hanger in your mouth.,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
"Oh, yeah.","I know, he's just so, so... Do you remember you and Tony DeMarco?"
Oh wow. Are you in trouble.,"Well, it's like that. With feelings."
Want a wedding dress? Hardly used.,Big time!
"Oh, look, wish me luck!","I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
I'm gonna go get one of those job things.,What for?
"Hey, Monica!",
"You had sex, didn't you?","Hey Frannie, welcome back! How was Florida?"
"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",How do you do that?
"Paul the Wine Guy? Oh yeah, I know Paul.",You know Paul?
"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",You mean you know Paul like I know Paul?
"Why?! Why? Why, why would anybody do something like that?",Of course it was a line!
I hate men! I hate men!,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,"Oh no, don't hate, you don't want to put that out into the universe."
"I just thought he was nice, y'know?","All right, c'mere, gimme your feet."
,I can't believe you didn't know it was a line!
You got a job?,Guess what?
And yet you're surprisingly upbeat.,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
"Oh, how well you know me...","You would be too if you found John and David boots on sale, fifty percent off!"
How'd you pay for them?,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
And who pays for that?,"Uh, credit card."
"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.",Um... my... father.
I know that. That's why I was getting married.,"C'mon, you can't live off your parents your whole life."
Thank you.,"Give her a break, it's hard being on your own for the first time."
,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
"All right, you ready?",The word you're looking for is 'Anyway'...
"You can, I know you can!","No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!"
"Come on, you made coffee! You can do anything!",I don't think so.
"Cut, cut, cut, cut, cut, cut, cut...","C'mon, cut. Cut, cut, cut,..."
Rachel! That was a library card!,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...
"Y'know, if you listen closely, you can hear a thousand retailers scream.","Cut, cut, cut, cut, cut, cut, cut.."
Welcome to the real world! It sucks. You're gonna love it!,
"Well, that's it You gonna crash on the couch?",
You be okay?,"No. No, I gotta go home sometime."
"Hey Mon, look what I just found on the floor. What?",Yeah.
Goodnight.,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody."
"Mmm. Oh, no-",
"No no no, go-",Sorry-
Split it?,"No, you have it, really, I don't want it-"
"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",Okay.
You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,I knew.
"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",I did.
"Okay... okay, maybe I will...","Yeah, maybe..."
Goodnight.,Goodnight.
"See ya.... Waitwait, what's with you?",
I can't believe what I'm hearing here.,I just grabbed a spoon.
What? I-I said you had a-,I can't believe what I'm hearing here...
Would you stop?,What I said you had...
Yes!,"Oh, was I doing it again?"
"Oh, you wouldn't know a great butt if it came up and bit ya.","I said that you had a nice butt, it's just not a great butt."
Would anybody like more coffee?,There's an image.
I'm just serving it.,"Did you make it, or are you just serving it?"
"Kids, new dream... I'm in Las Vegas.","Yeah. Yeah, I'll have a cup of coffee."
"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.","Ahh, miss? More coffee?"
"What you guys don't understand is, for us, kissing is as important as any part of it.","Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
"Oh, yeah!","Yeah, right!.......Y'serious?"
Absolutely.,Everything you need to know is in that first kiss.
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.","Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.","The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",....Are we still talking about sex?
Does she.,"Well, she has issues."
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?","He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!"
,"Speaking of issues, isn't that your ex-wife?"
"Yes, it is. Carol! Hi!",No. No.
,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age."
So.,Hi.
Sorry. You look good too.,"You look great. I, uh... I hate that."
A lesbian?,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
"Marty's still totally paranoid. Oh, and, uh-","Well... you never know. How's, um.. how's the family?"
I'm pregnant.,"Why- why are you here, Carol?"
"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",Pregnant?!
Are you through with that?,...Then I've already seen this one!
Whose little ball of paper is this?!,"Yeah, sorry, the swallowing slowed me down."
,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... ...now I wish I was dead."
"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.","She's already fluffed that pillow... Monica, you know, you've already fluffed that- -but, it's fine!"
"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.","Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.","Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
What?,"Ew, ew, ew, ew ew ew ew ew!"
Eeaagh!,Ugly Naked Guy got a Thighmaster!
Has anybody seen my engagement ring?,
"Oh God, oh God, oh God oh God oh God oh God....","Yeah, it's beautiful."
"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...","No, look, don't touch that!"
Oh! Yeah!,"Easy Rach, we'll find it. Won't we!"
Doy! Probably right before she lost it!,"Alright, when'd'ya have it on last?"
"I know I had it this morning, and I know I had it when I was in the kitchen with...",You don't get a lot of 'doy' these days...
"Ohhhhh, don't be mad...",...Dinah?
"Oh, I am sorry...",You didn't.
"Oh, but look how straight those noodles are!",I gave you one job!
I just... can't do it.,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
,Boys? We're going in.
Wow. That is not a happy hi.,.....Hi.
Ooh! I found it!,Carol's pregnant.
"Yeah. Do that for another two hours, you might be where I am right about now.",W-w-wh-... wha-... w-w-w-...
"Well now, how-how do you fit into this whole thing?","Kinda puts that whole pillow thing in perspective, huh, Mon?"
She is so great! I miss her.,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me."
"I mean presumably, the biggest part of your job is done.",What does she mean by 'involved'?
So what are you gonna do?,"Anyway, they want me to go down to this- sonogram thing with them tomorrow."
,"I have no idea. No matter what I do, though, I'm still gonna be a father."
"Oh, Martha Ludwin's daughter is gonna call you. Mmm! What's that curry taste?",".....Well, this is still ruined, right?"
Mmmm!,Curry.
"Do you remember the Ludwins? The big one had a thing for you, didn't she?","I- I think they're great! I, I really do."
"Aw, Mom...",They all had a thing for him.
"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-","I'm sorry, why is this girl going to call me?"
"Well, they don't have to know that...","No Mom, I don't have a restaurant, I work in a restaurant."
Yeah.,"Ross, could you come and help me with the spaghetti, please?"
"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.","Oh, we're having spaghetti! That's.... easy."
"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.",
"Well, at least she had the chance to leave a man at the altar...",I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!
Nothing! It's an expression.,What's that supposed to mean?
"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles...",No it's not.
"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer.",
"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem.",
"Okay! Okay. Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.","So, Ross, what's going on with you? Any stories? No news, no little anecdotes to share with the folks?"
And you knew about this?!,
"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.","Your folks are really that bad, huh?"
Must pee.,"Boy, I know they say you can't change your parents,... boy, if you could- -I'd want yours."
You're twins?,"Y'know, it's even worse when you're twins."
What does she do?,"Yeah. We don't speak. She's like this high-powered, driven career type."
"All right, you guys, I kinda gotta clean up now.",She's a waitress.
"Well, no, although I did have an imaginary friend, who... my parents actually preferred.","Chandler, you're an only child, right? You don't have any of this."
,"The lights, please.."
I'm just cleaning up.,...How long was I in there?
"Uh.. okay, sure! Thanks!",D'ya.. uh.. d'ya need any help?
Oh.. a little..,"Anyway.. um.. So, you- uh- you nervous about Barry tomorrow?"
A lot.,Mm-hmm..
"So, got any advice? Y'know, as someone who's recently been- dumped?",Mm.
"Oh, you've got Carol tomorrow.. When did it get so complicated?","Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN..."
Remember when we were in high school together?,Got me.
"I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? ..Ross?",Yeah.
"Oh! Man, I never thought I'd be here..","Yes, yes!"
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",Me either...
Hi.,
How could I forget?,"Ross, you remember Susan."
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",Ross.
..Dr. Oberman. Okay. And is he-,Dr. Oberman.
"-she, of course, she- uh- familiar with our.. special situation?",She.
"Okay, that's great. No, I'm- Oh.","Yes, and she's very supportive."
"Quack, quack..",Thanks.
Barry?,Ross? That opens my cervix.
Are you sure?,C'mon in.
Huh?!,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours."
I'm- uh- I'm okay... You look great!,"So, how ya doin?"
"Dr. Farber, Jason Greenstein's gagging.","Yeah, well.."
,Be right there. Be back in a sec.
Okay.,I dumped him.
Give me a 'for instance'.,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?"
Marlon-,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?"
"-if it's a boy, Minnie if it's a girl.",Marlon?!
As in my grandmother.,...As in Mouse?
Julia..,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?"
"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?",We agreed on Minnie.
"Oh, not much. I-I got a job.",Sorry about that. So. What have you been up to?
Why are- why are you so tanned?,"Oh, that's great."
Oh no. You went on our honeymoon alone?,"Oh, I, uh- I went to Aruba."
Me?!,"No. I went with, uh.. Now, this may hurt."
"Mindy?! My maid of honour, Mindy?!",No! I went with Mindy.
"Oh! Well, um.. You've got plugs!","Yeah, well, uh, we're kind of a thing now."
And you've got lenses! But you hate sticking your finger in your eye!,Careful! They haven't quite taken yet.
Okay..,"Not for her. Listen, I really wanted to thank you."
Wow.,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist."
What?,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit."
"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",Me.
,"Well, thank you for giving it back."
"Oh, please! What's wrong with Helen?",Hello?!
Hello? It's not gonna be Helen Geller.,Helen Geller? I don't think so.
"No, I mean it's not Geller.",Thank you!
"No, actually, um, we talked about Helen Willick-Bunch.","What, it's gonna be Helen Willick?"
It's my baby too.,"Well, wait a minute, wha- why is she in the title?"
"Yeah, and we all know what a challenge that is!","Oh, 's'funny, really? Um, I don't remember you making any sperm."
"No no no, she gets a credit, hey, I'm in there too.","All right, you two, stop it!"
"Of course not, I'm... suggesting Geller-Willick-Bunch.",Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.
"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-","Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!"
Yeah. Yeah. A little.,Knock knock!How are we today? Any nausea?
"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.","Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back.."
Oh my God.,
I know.,Look at that.
What are we supposed to be seeing here?,Well? Isn't that amazing?
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.","I dunno, but.. I think it's about to attack the Enterprise."
Okay!,"Then don't do that, alright?"
Mm-hmm.,Monica. Whaddya think?
No.,Wh- are you welling up?
Am not!,"You are, you're welling up."
Oh shut up!,You're gonna be an aunt.
Hi guys!,"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now."
"Hey. Oh, oh, how'd it go?","Hey, Pheebs! Hi!"
Ohh. Ouch.,"Um, not so good. He walked me to the subway and said 'We should do this again!'"
"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.","What? He said 'we should do it again', that's good, right?"
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",Since when?
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
Yeah. Cushions the blow.,And everybody knows this?
"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.","Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm."
"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!","Uh, Ross."
"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""","""So how does it feel knowing you're about to die?"""
Thanks! Let's keep going.,"Hey, that was really good!"
"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""","Okay. ""So. Whaddya want from me, Damone, huh?"""
,"""Smoke away."""
What?,I think this is probably why Damone smokes in his cell alone.
,Relax your hand!
Whoah!,Not so much!
Hey!,Hey!
,"Alright, now try taking a puff."
"No no no, I am not giving you a cigarette.",Alright.. okay. No. Give it to me.
,"It's fine, it's fine. Look, do you wanna get this part, or not? Here."
Y'miss it?,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete."
"No, no, no. They say it's the same as the distance from the tip of a guy's thumb to the tip of his index finger.","Nah, not so much. Alright, now we smoke. Oh.. my.. God."
That's ridiculous!,
"Alright, don't tell me, don't tell me! Decaf cappucino for Joey.. Coffee black.. Late.. And an iced tea. I'm getting pretty good at this!",Can I use.. either thumb?
Good for me!,"Yeah. Yeah, excellent."
"Y'okay, Phoebe?",
What did they do to you?,"Yeah- no- I'm just- it's, I haven't worked- It's my bank."
Easy.,"It's nothing, it's just- Okay. I'm going through my mail, and I open up their monthly, you know, STATEMENT-"
"Oh, Satan's minions at work again...",- and there's five hundred extra dollars in my account.
What are you talking about? Keep it!,"Yes, 'cause now I have to go down there, and deal with them."
"Yeah, but if you spent it, it would be like shopping!","It's not mine, I didn't earn it, if I kept it, it would be like stealing."
We're with you. We got it.,"Okay. Okay, let's say I bought a really great pair of shoes. Do you know what I'd hear, with every step I took? 'Not-mine. Not-mine. Not-mine.' And even if I was happy, okay, and, and skipping- 'Not-not-mine, not-not-mine, not-not-mine, not-not-mine'..."
Okay. I'd- just- I'd never be able to enjoy it. It would be like this giant karmic debt.,
Hey. Whaddya doing?,"Chandler, what are you doing?"
"Oh! Oh, God!",
"I'm smoking. I'm smoking, I'm smoking.",What is this?!
And this- is my reward!,"Oh, I can't believe you! You've been so good, for three years!"
"Okay, so this time I won't quit!","Hold on a second, alright? Just think about what you went through the last time you quit."
"All right! I'm putting it out, I'm putting it out.",Ohhh! Put it out!
"Alright. I'm gonna go change, I've got a date.","Oh, no! I- I can't drink this now!"
"'S'going pretty good, y'know? It's nice, and, we're having fun.",This Alan again? How's it goin'?
"Let's see, today's Monday... Never.",So when do we get to meet the guy?
No. Not after what happened with Steve.,"Oh, come on! Come on!"
