p1,p2
At his apartment. Is this juice?,"Whoa, whoa. And the fact that you dumped him because he hit on Phoebe?"
"Oh God, I know I'm a pathetic loser.","Honey, you're not pathetic, you're sad."
People do stupid things when they're upset.,"My god, if I had a nickel for every guy I wish I hadn't..., but this is about your horrible mistake."
Hi!,"Hi. Sorry we're late but we werewell, there was touching."
"Hey, hey Ross.","Hey, Paulo. What are you doing here?"
I do Raquel.,"So, uh, he's back."
"Yeah, he's back. Is that a problem?","No, not a problem."
Good! I'm glad it's not a problem.,"Ok, you're gonna have to not touch my ass."
"Well, in spite of the yummy bagels and palpable tension, I've got pants that need to be altered.","Hey, Chandler, when you see Frankie, tell him Joey Tribbiani says hello. He'll know what it means."
Are you sure he's gonna be able to crack that code?,"You know it's funny, the last time Paulo was here, my hair was so much shorter and cuter."
"All right. Ok, but, but! You have to promise that you will not be all like control-y and bossy and Monica about it.",I promise.
"All right. Now some of you are gonna get cut, and some of you aren't. But I promise none of you are gonna feel a thing.",
"All right, that's it, I quit.",What? I didn't say anything.
"Yeah, but this isn't the face of a person who trusts a person. Ok, this is the face of a person who, you know, doesn't trust a person.","I'm sorry. I'm sorry, Phoebe. It's just a little shorter than what we had discussed."
Would you relax? I know what I am doing. This is how he wears it.,How who wears it?
Demi Moore.,Demi Moore is not a he.
"Well, he was a he in Arthur, and in Ten.",That's Dudley Moore. I said I wanted it like Demi Moore.
Oh. Oh!,Oh my God!
Oh my God!,Oh my God!
"Oh my God! I'm sorry, I'm sorry. Which one's Demi Moore?","She's the actress that was in Disclosure, Indecent Proposal, Ghost!"
"Oh, she's got gorgeous hair.",I know!
,How long do you want the cuffs?
At least as long as I have the pants.,"I just got that. Ok, now we'll do your inseam."
,How is she?
"It's too soon to tell. She's resting, which is a good sign.",How's the hair?
"I'm not gonna lie to you, Ross, it doesn't look good. I put a clip on one side, which seems to have stopped the curling.",Can we see her?
"Your hair looks too good, I think it would upset her. Ross, why don't you come on in.",Yeah.
How're you doing?,I'm okay.
"Ooh, that bad, huh?",What?
"Look, I can sense when women are depressed and vulnerable. It's one of my gifts.","When I saw him get off that plane with her, I really thought I hit rock bottom. But today, it's like there's rock bottom, 50 feet of crap, then me."
You gotta tell Ross how you feel.,Come on. How can I just tell him? What about Julie?
What about her? They've only been going out for two weeks. Ross has been in love with you for like 10 years.,"I don't know, I don't know."
"Look, Rach, Rach! I've been with my share of women. In fact, I've been with like a lot of people's share of women. The point is, I've never felt about anyone the way Ross felt about you.","Yo, paisan! Can I talk to you for a sec? Your tailor is a very bad man!"
Frankie? What're you talking about?,"Hey, what's goin' on?"
Joey's tailor...took advantage of me.,What?
No way. I've been going to the guy for 12 years.,"Oh come on! He said he was going to do my inseam, and he ran his hand up my leg, and then, there was definite..."
What?,Cupping.
"That's how they do pants! First they go up one side, they move it over, then they go up the other side, they move it back, and then they do the rear. What? Ross, Ross, would you tell him? Isn't that how they measure pants?","Yes, yes it is. In prison! Whatsa matter with you?"
What? That's not? Oh my God.,
Even Mary Tyler Moore would've been better.,"I like it. I do, I think it's a Ten."
Thank you. My hair is very amused.,"Come on, Monica, things could be worse. You could get caught between the moon and New York City. I know it's crazy, but it's true."
Thank you.,"Well, I gotta go. Bye. Bye, Rach."
"Wait, are you leaving?","Yeah, that's kinda what I meant by ""bye!"""
"Well, can I talk to you for a sec?",Okay.
"Hey, when the doctor does that hernia test...",That's ok.
What's goin' on?,"Well, first of all, Paulo and I are not back together. It was just a stupid thing I did, and if I could go back in time and do it again, well, I wouldn't. Um, second of all , what?"
"Ok. Well, before I say anything, I just need to know, is this one of those things where you break up with a guy, and then I tell you what I think, and then the next day you get back together with the guy, and I look like a complete idiot?",No. No-no-no-no.
"Well, then, I think, I think the guy is scum. I hate him. I mean I actuallyI-I physically hate him. I always have. You are way too good to be with a guy like that.",Really?
"You deserve to be with someone who appreciates you, and who gets how funny and sweet and amazing, and adorable, and sexy you are, you know? Someone who wakes up every morning thinking ""Oh my god, I'm with Rachel"". You know, someone who makes you feel good, the way I am with Julie. Was there a second of all?","No, I think that was the whole all."
Okay. Okay. Okay.,"I swear to god, Dad. That's not how they measure pants."
,"I was thinking of doing it a little shorter, you know, like Andie McDowell's new haircut?"
"Oh yeah! Oh, I can do that.",Really?
You wanna do it right now?,Great!
"Ok, I just wanna be really sure this time. Andie McDowell's the girl from Four Weddings and a Funeral, right?",No. No no no no no. That's Rodney McDowell. Andie McDowell is the guy from Planet of the Apes.
"Oh, yeah. Ok, thank you.",You're welcome.
,"Ok, these were unbelievably expensive, and I know he's gonna grow out of them in like, 20 minutes, but I couldn't resist."
"Oh, look at these! Hey, Ben. Just do it. Oh my God, oh, ok, was that too much pressure for him?","Oh, is he hungry already?"
I guess so.,"You know, it's... something funny about sneakers. I'll be right back."
"I gotta get one, too.",What are you guys doing?
We're just hanging out by the spoons. Ladle?,"Look, would you guys grow up? That is the most natural beautiful thing in the world."
"Yeah, we know, but there's a baby suckin' on it.","This is my son having lunch, ok? It's gonna happen a lot, so you'd better get used to it. Now if you have any problem with it, if you're uncomfortable, just ask questions. Carol's fine with it, now come on."
Carol?,Carol? I was just wondering if Joey could ask you a question about breast-feeding?
Sure.,"Uh, does it hurt?"
"It did at first, but not anymore.",Chandler?
"So, uh, how often can you do it?",As much as he needs.
"Ok, I got one, I got one. Uh, if he blows into one, does the other one get bigger?",
"Rachel, do you have any muffins left?","Yeah, I forget which ones."
"Oh, you're busy, that's ok, I'll get it. Anybody else want one?",No thanks.
"Oh, you're losin' your apron here, let me get it. There you go.",Thank you. What a bitch.
"Oh, listen you guys. I have this friend at Bloomingdale's who's quitting tomorrow and he wants to abuse his discount. So, anyone want to come with me and take advantage of it?","I can't, I have to take my grandmother to the vet."
"Ok, um, I'll go with you.",Great.
"Hi, honey.","Hey, sweetums."
Hello to the rest.,Hi!
Monica what're you doin'? You can't go shopping with her? What about Rachel?,"It's gonna be a problem, isn't it?"
"Come on, you're going to Bloomingdale's with Julie? That's like cheating on Rachel in her house of worship.",But I'm...
"Monica, she will kill you. She will kill you like a dog in the street.","So, uh, Jules tells me you guys are going shopping tomorrow?"
"Yeah, uh, it's actually not that big a deal.","It's a big deal to me. This is great, Monica. I really appreciate this."
You're welcome.,"Woof, woof."
,Bijan for men? Bijan for men? Bijan for men? Hey Annabelle.
"Hey, Joey. So did you hear about the new guy?",Who?
Nobody knows his name. Me and the girls just call him the Hombre man.,Hombre?
What's he doin' in my section?,I guess he doesn't know.
"Well, he's gonna. I'll see you a little later, ok? Hey, how ya doin'?",Mornin'.
"Listen, I know you're new, but it's kinda understood that everything from Young Men's to the escalator is my territory.","Your territory, huh?"
Yeah. Bijan for men?,No thanks.
Hombre?,Yeah. All right.
You were saying?,
"Phoebe, listen. You were with me, and we were shopping all day.",What?
"We were shopping, and we had lunch.","Oh, all right. What did I have?"
You had a salad.,"Oh, no wonder I don't feel full."
"Hey, guys, what's up.","I went shopping with Monica all day, and I had a salad."
"Good, Pheebs. What'd you buy?","Um, we went shopping for um, for, fur."
You went shopping for fur?,"Yes, and then I realized I'm against that, and uh, so then we bought some, uh, boobs."
You bought boobs?,Bras! We bought bras! We bought bras.
,"Bijan for men? Bijan for men? Bijan for... Hey, Annabelle, Uh, listen, I was wondering if maybe after work you and I could go maybe grab a cup of coffee."
"Oh, actually I sorta have plans.","Ready, Annabelle?"
You bet. Maybe some other time?,"Hey, it's not the first time I lost a girl to a cowboy spraying cologne. Bijan for men? Bijan for men?!"
,"Ok, and this is Funny Clown. Funny Clown is only for after his naps, not before his naps or he won't sleep."
"Carol, we've been through this before, ok? We have a good time. We laugh, we play. It's like we're father and son.","Honey, relax. Ross is great with him. Don't look so surprised. I'm a lovely person."
"Oh, this is so cute.","Oh, I got that for him."
My mommies love me. That's clever.,"Hello? Oh, Hi, Ju Hi, Jew! Uh huh? Uh huh? Ok. Um, sure, that'd be great. See ya then. Bye."
"Did you just say Hi, Jew?","Yes. Uh, yes, I did. That was my friend, Eddie Moskowitz. Yeah, he likes it. Reaffirms his faith."
,"Ben, dinner!"
"Thanks Aunt Pheebs. Hey, you didn't microwave that, did you, because it's breast milk, and you're not supposed to do that.","Duh, I think I know how to heat breast milk. Ok."
What did you just do?,"I licked my arm, what?"
It's breast milk.,So?
"Phoebe, that is juice, squeezed from a person.",What is the big deal?
What did you just do?,"Ok, would people stop drinking the breast milk?"
You won't even taste it?,No!
Not even if you just pretend that it's milk?,Not even if Carol's breast had a picture of a missing child on it.
,"Hey, where is everybody?"
They took Ben to the park. Where've you been?,"Just out. Had some lunch, just me, little quality time with me. Thanks for your jacket."
"Oh, no problem. You can borrow it, by the way. Here are your keys, hon.",Okay.
"Mon, if uh you were at lunch alone, how come it cost you uh 53 dollars?",You know what probably happened? Someone musta stolen my credit card.
And sorta just put the receipt back in your pocket?,That is an excellent excellent question. That is excellent.
"Monica, what is with you? Who'd you have lunch with?",Judy.
Who?,Julie.
What?!,Jody!
You were with Julie?,"Look, when it started I was just trying to be nice to her because she was my brother's girlfriend. And then, one thing led to another and, before I knew it, we were...shopping."
Oh. Oh my God.,"Honey, wait. We only did it once. It didn't mean anything to me."
"Yeah, right. Sure!","Really, Rachel, I was thinking of you the whole time. Look, I'm sorry, all right. I never meant for you to find out!"
"Oh, please, you wanted to get caught.",That is not true!
"Oh, so you just sort of happened to leave it in here?",Did it ever occur to you that I might just be that stupid?
"Ok, Monica. I just have to know one thing. Did you go with her to Bloomingdale's? Oh! Ok, ok, ok, I just really, uh, I just really need to not be with you right now.",
"Hi, who's this? Hi, Joanne. Is Rachel working? It's Monica. Yes, I know I did a horrible thing. Joanne, it's not as simple as all that, ok? No, I don't care what Steve thinks. Hi, Steve.",Hey!
How did we do?,"Oh, I tasted Ben's milk, and Ross freaked out."
I did not freak out.,Why'd you freak out?
Because it's breast milk. It's gross.,My breast milk is gross?
This should be fun.,"No, no, Carol. There's nothing wrong with it. I just, I just don't think breast milk is for adults."
Of course the packaging does appeal to grown-ups and kids alike.,"Ross, you're being silly. I've tried it, it's no big deal. Just taste it."
That would be no.,Come on. It doesn't taste bad.
"Yeah, it's kinda sweet, sorta like, uh...",Cantaloupe juice.
Exactly.,You've tasted it? You've tasted it.
Uh huh.,"Oh, you've tasted it."
"You can keep saying it, but it won't stop being true.",Gimme the bottle. Gimme the towel.
,Howdy.
"Gimme a box a juice. Well, they switched me over to Hombre.","Well, maybe it's because of the way you're dressed."
"Or maybe it's because this guy's doing so good they wanna put more people on it. You should see this guy, Chandler, he goes through two bottles a day.",What do you care? You're an actor. This is your day job. This isn't supposed to mean anything to you.
"I know, but, I was the best, you know? I liked being the best. I don't know. Maybe I should just get outta the game. They need guys up in housewares to serve cheese.","All right, say you do that. You know sooner or later somebody's gonna come along that slices a better cheddar. And then where're you gonna run?"
Yeah I guess you're right.,You're damn right I'm right. I say you show this guy what you're made of. I say you stand your ground. I say you show him that you are the baddest hombre west of the lingerie.
I'm gonna do it.,All right. Now go see Miss Kitty and she'll fix you up with a nice hooker.
,I don't know what else to say.
"Well that works out good, because I'm not listening.","I feel terrible, I really do."
"Oh, I'm sorry, did my back hurt your knife?","Rachel, say that I'm friends with her, we spend some time together. Is that so terrible?"
Yes.,It's that terrible?
"Yes. Monica, you don't get it. It's bad enough that she's stolen the guy who might actually be the person that I am supposed to be with, but now, she's actually , but now she's actually stealing you.","Me? What are you talking about? Nobody could steal me from you. I mean, just because I'm friends with her doesn't make me any less friends with you. I mean, you're my...We're, we're...Oh, I love you."
I love you too.,"You guys, um I know that this really doesn't have anything to do with me, but um I love you guys too. Oh, I really needed that."
"Look, I know that you're in a place right now where you really need to hate Julie's guts, but she didn't do anything wrong. I mean, she was just a girl who met a guy, and now they go out. I really think that if you gave her a chance, you'd like her. Would you just give that a chance, for me?","I'd do anything for you, you know that."
I'd do anything for you.,"Wait, wait, wait, wait!"
,"Mornin'. I said, mornin'."
I heard ya.,"All right, everybody, I'm openin' the doors. You boys ready?"
Ready.,"Yeah, I'm ready."
"You idiot, you stupid cowboy, you blinded me, I'm suing!","Oh my god, Todd! What the hell did you do?"
"I'm sorry. I am such a doofus. I'm so sorry, I'm so sorry.","My god, what happened?"
"These new kids, they never last. Sooner or later, they all...stop lastin'. Listen, uh, what do you say I buy you that cup of coffee now?",Sure.
,So.
"So. I just thought the two of us should hang out for a bit. I mean, you know, we've never really talked. I guess you'd know that, being one of the two of us, though, right?","I know, I probably shouldn't even tell you this, but I'm pretty much totally intimidated by you."
Really? Me?,"Yes. Oh my god, are you kidding? Ross is so crazy about you, and I really wanted you to like me, and, it's probably me being totally paranoid, but I kinda got the feeling that maybe you don't."
"Well, you're not totally paranoid.",Oy.
"Um, ok, uh, oh god, um, when you and uh Ross first started going out, it was really hard for me, um, for many reasons, which I'm not gonna bore you with now, but um, I just, I see how happy he is, you know, and how good you guys are together, and um, Monica's always saying how nice you are, and god I hate it when she's right.","Thanks. Hey, listen, would you like to go to a movie sometime or something?"
"Yeah, that'd be great. I'd love it.","I'd love it too. Shoot, I gotta go. So, I'll talk to you later."
"All right, Julie.",Bye.
Bye. What a manipulative bitch.,
That's not bad.,Hey.
So how was Joan?,I broke up with her.
"They were huge. When she sneezed, bats flew out of them.","Come on, they were not that huge."
"I'm tellin' you, she leaned back, I could see her brain.",How many perfectly fine women are you gonna reject over the most superficial insignificant things?
"Hold it hold it. I gotta side with Chandler on this one. When I first moved to the city, I went out a couple of times with this girl, really hot, great kisser, but she had the biggest Adam's apple. It made me nuts.",You or me?
"I got it. Uh, Joey, women don't have Adam's apples.","You guys are messin' with me, right?"
Yeah.,"That was a good one. For a second there, I was like, ""whoa."""
You name one woman that you broke up with for a real reason.,Maureen Rosilla.
Not hating Yanni is not a real reason.,"Hello, Mr. Heckles."
You're doing it again.,We're not doing anything.
You're stomping. It's disturbing my birds.,You don't have birds.
I could have birds.,"Ok, Mr. Heckles, we'll try to keep it down."
Thank you. I'm going to rejoin my dinner party.,"All right, bye-bye."
"Ok, Janice. Janice. You gotta give me Janice. That wasn't about being picky.",We'll give you Janice.
"I miss Janice though. ""Hello, Chandler Bing.""","""Oh, my, god."""
"""Oh, Chandler, now, now, that's it. There, faster!""","Stop with the broom, we're not making noise."
We won. We won!,Mr. Heckles.
How did this happen?,He musta been sweepin'. They found a broom in his hand.
That's terrible.,I know. I was sweepin' yesterday. It coulda been me.
"Sure, sweepin'. You never know.",You never know.
"Ok, it's very faint, but I can still sense him in the building. Go into the light, Mr. Heckles!","Ok, Phoebe."
"I'm sorry, but sometimes they need help. That's fine. Go ahead and scoff. You know, there're a lot of things that I don't believe in, but that doesn't mean they're not true.",Such as?
"Like crop circles, or the Bermuda triangle, or evolution?","Whoa, whoa, whoa. What, you don't, uh, you don't believe in evolution?"
Nah. Not really.,You don't believe in evolution?
"I don't know, it's just, you know...monkeys, Darwin, you know, it's a, it's a nice story, I just think it's a little too easy.","Too easy? Too...The process of every living thing on this planet evolving over millions of years from single-celled organisms, too easy?"
"Yeah, I just don't buy it.","Uh, excuse me. Evolution is not for you to buy, Phoebe. Evolution is scientific fact, like, like, like the air we breathe, like gravity."
"Ok, don't get me started on gravity.","You uh, you don't believe in gravity?"
"Well, it's not so much that you know, like I don't believe in it, you know, it's just...I don't know, lately I get the feeling that I'm not so much being pulled down as I am being pushed.","Uh-Oh. It's Isaac Newton, and he's pissed."
"There she is. And over there, that's the other one. This is Mr. Buddy Boyle, Mr. Heckles' attorney. He'd like to talk to you.",What can we do for you?
"All right, kids. Here's the deal. According to my client's will, he wants to leave all his earthly possessions to ""the noisy girls in the apartment above mine"".","Well, what about his family?"
He didn't have any.,"Ok, so let's talk money."
"All right, there was none. Let's talk signing. You be noisy girl number one, you be noisy girl number two.","I can't believe that this whole time we thought he hated us. I mean, isn't it amazing how much you can touch someone's life, without even knowing it?...Would you look at this dump? He hated us. This is his final revenge!"
Have you ever seen so much crap?,"Actually, I think this apartment sullies the good name of crap"
Check this out. Can I have this?,How can you not believe in evolution?
Just don't. Look at this funky shirt!,"Pheebs, I have studied evolution my entire adult life. Ok, I can tell you, we have collected fossils from all over the world that actually show the evolution of different species, ok? You can literally see them evolving through time."
Really? You can actually see it?,"You bet. In the U.S., China, Africa, all over."
"See, I didn't know that.","Well, there you go."
"Huh. So now, the real question is, who put those fossils there, and why?","Hey, look at this. ""My Big Book of Grievances."""
"Hey, there's me! April 17th. Excessive noise. Italian guy comes homes with a date. Hey Chandler, look, you're in here too.","April 18th, excessive noise. Italian guy's gay roommate comes home with the dry-cleaning. Well that's excellent."
"Monica, Monica, look at this lamp. Is this tacky or what? We have to have this.","Rache, I think we have enough regular lamps."
"What? Come on, it's not like I'm asking for this girly clock or anything, which, by the way, I also think is very cool.",It doesn't go with any of my stuff.
"Well, what about my stuff?",You don't have any stuff.
"You still think of it as your apartment, don't you?",No.
"Yes you do. You think of it as your apartment, and I'm just somebody who rents a room.",Mmmmm.
"Ok, while you ""mmm"" on it for awhile, I'm gonna go find a place for my new lamp.","Ok, Pheebs. See how I'm making these little toys move? Opposable thumbs. Without evolution, how do you explain opposable thumbs?"
Maybe the overlords needed them to steer their spacecrafts.,Please tell me you're joking.
"Look, can't we just say that you believe in something, and I don't.","No, no, Pheebs, we can't, ok, because--"
"What is this obsessive need you have to make everyone agree with you? No, what's that all about? I think, I think maybe it's time you put Ross under the microscope.",Is there blood coming out of my ears?
"Check it out, check it out. Heckles' high school yearbook.","Wow, he looks so normal."
He's even kind of cute.,"""Heckles, you crack me up in science class. You're the funniest kid in school."
Funniest? Heckles?,That's what it says.
"Wow, Heckles was voted class clown, and so was I. He was right. Would you listen to that?",I'd call that excessive.
Whoa!,What?
"Heckles played clarinet in band, and I played clarinet. And he was in the scale modeler's club, and I was, well, there was no club, but I sure thought they were cool.","So, you were both dorks. Big deal."
"I just think it's weird, you know? Heckles and me, Heckles, and me, me and Heckles...Would you knock it off?",Have you been here all night?
"Look at this. Pictures of all the women that Heckles went out with. Look what he wrote on them. Vivian, too tall. Madge, big gums. Too loud, too smart, makes noise when she eats. This is, this is me. This is what I do. I'm gonna end up alone, just like he did.","Chandler, Heckles was a nut case."
"Our trains are on the same track, ok? Yeah, sure, I'm coming up 30 years behind him, but the stops are all the same. Bitter Town. Aloneville. Hermit Junction.","All right, you know what we gotta do? We gotta get you outta here. Come on, I'll buy you breakfast, let's go."
"What if I never find someone? Or worse, what if I've found her, but I dumped her because she pronounced it ""supposably""?","Chandler, come on, you're gonna find somebody."
How do you know that? How?,"I don't know, I'm just tryin' to help you out."
"You'll see, you guys are all gonna go off and get married, and I'm gonna end up alone. Will you promise me something? When you're married, will you invite me over for holidays?","Well, I don't know. I don't know what we're gonna be doin'. I mean, what if we're at her folks' place?"
"Yeah, I understand.","You can come over and watch the Super Bowl. Every year, all right?"
You know what? I'm not gonna end up like this. I'll see you man.,Supposably. Supposably. Did they go to the zoo? Supposably.
"Hi, it's me.","Oh, my, god."
Janice? You called Janice?,"Yes, Janice. Why is that so difficult for you to comprehend?"
"You remember Janice, right?","Yes. She was smart, she was pretty, and she honestly cared about me. Janice is my last chance to have somebody."
Helloo!!,"Oh, my, god!"
"Geez, look how fat she got.","Hey, it's everybody."
"Janice, you're--","Yes, I am."
Is it--?,"Is it yours? Ha! You wish, Chandler Bing. You are looking at a married lady now."
Congratulations.,"Oh, sweetie, I'm sorry."
You couldn't have told me about this on the phone?,And what? Missed the expression on your face? Janice likes to have her fun.
"Hey, Rache. You know what we haven't played in a while?",What?
Hide the Lamp.,"Monica, let it go."
Did you know I was allergic to shellfish?,"Well, then, you'll just have to eat the other lamps."
Uh-oh. It's Scary Scientist Man.,"Ok, Phoebe, this is it. In this briefcase I carry actual scientific facts. A briefcase of facts, if you will. Some of these fossils are over 200 million years old."
"Ok, look, before you even start, I'm not denying evolution, ok, I'm just saying that it's one of the possibilities.","It's the only possibility, Phoebe."
"Ok, Ross, could you just open your mind like this much, ok? Wasn't there a time when the brightest minds in the world believed that the world was flat? And, up until like what, 50 years ago, you all thought the atom was the smallest thing, until you split it open, and this like, whole mess of crap came out. Now, are you telling me that you are so unbelievably arrogant that you can't admit that there's a teeny tiny possibility that you could be wrong about this?","There might be, a teeny, tiny, possibility."
I can't believe you caved.,What?
"You just abandoned your whole belief system. I mean, before, I didn't agree with you, but at least I respected you. How, how, how are you going to go into work tomorrow? How, how are you going to face the other science guys? How, how are you going to face yourself? Oh! That was fun. So who's hungry?",I am. Let me just get my coat.
"Ok, all right. It was an accident, I swear, all right. I was putting on my jacket, and the thing, and the lamp, and it broke.","Oh, please, Monica. You've always hated my lamp, and then, all of a sudden, it's just magically broken?"
"Phoebe, tell her!","Ok, I didn't see it, because I was putting on my jacket, but I uh want to believe you."
Hey Chandler. Monica just broke my seashell lamp.,Neat. I'm gonna die alone.
"Ok, you win.","Chandler, you're not gonna die alone."
"Janice was my safety net, ok? And now I have to get a snake.",Uh huh. Why is that?
"If I'm gonna be an old, lonely man, I'm gonna need a thing, you know, a hook, like that guy on the subway who eats his own face. So I figure I'll be Crazy Man with a Snake, yknow. Crazy Snake Man. And I'll get more snakes, call them my babies, kids will walk past my place, they will run. ""Run away from Crazy Snake Man,"" they'll shout!",You have got to get over this. You're not gonna end up alone.
"Of course I am. I reject anyone who's crazy enough to actually go out with me, and then I bitch about the fact that there aren't any great women out there.","Chandler, you have just described virtually every man that we have ever gone out with."
You are not a freak. You're a guy.,She's right. She's right. You are no different than the rest of them.
"Wait a minute, wait a minute. Yes he is. You are totally different.",In a bad way?
"No, honey, in a wonderful way. You know what you want now. Most guys don't even have a clue. You are ready to take risks, you are ready to be vulnerable, and intimate with someone.",Yeah. You're not gonna end up alone.
"Chandler, you called Janice! That's how much you wanted to be with someone!",You made it!
You're there!,You are ready to make a commitment!
Whoa! Don't know about that.,What you got there? Something else that's not yours that you can break?
"No. Um, I know you like this, and I want you to have it. I think it'll look good in our apartment.",Thank you.
That's fine.,"Hey. Well, you will all be pleased to know that I have a date tomorrow night. This woman, Alison, from work. She's great. She's pretty, she's smart. And uh, I've been holding off on asking her out in the past, because she has an unusually large head. But, I'm not gonna let that stuff hang me up anymore. Look at me. I'm growing."
"Hey, uh, you can't recycle yearbooks, can you?",I'll take that.
You want his yearbook?,"Yeah, yeah. Some people said some nice things about him. I think somebody should have it."
"Oh, gosh, this is so weird. I mean, his whole life was in this apartment, and now it's gone. You know, I think it would be nice if we just took a few moments, for Mr. Heckles. I mean, he was kind of a pain, he was, but, he was a person. You're all going to hell.",It's really not that big!
"Takin' that with you, huh?","Oh, yeah."
